student_id,skill_level,interest,time_available,past_performance,goal,recommended_topic,difficulty_level,resource_type
1,Advanced,Python,1-2 hours,97,Academic,Optimization,Medium,Article
2,Beginner,Web Development,2-4 hours,97,Career,Responsive Design,Hard,Video
3,Advanced,Mobile Development,1-2 hours,87,Certifications,Native Modules,Hard,Article
4,Beginner,Python,1-2 hours,63,Hobby,Python Basic,Easy,Article
5,Advanced,Mobile Development,1-2 hours,85,Hobby,Native Modules,Easy,Article
6,Advanced,Mobile Development,6+ hours,64,Certifications,Cross-platform Architecture,Easy,Book
7,Advanced,Data Science,1-2 hours,98,Hobby,Advanced Visualization,Easy,Article
8,Advanced,Machine Learning,4-6 hours,67,Hobby,Neural Networks,Easy,Interactive
9,Beginner,Data Science,1-2 hours,55,Certifications,Statistics Basics,Easy,Article
10,Beginner,Data Science,4-6 hours,88,Academic,Data Visualization,Medium,Interactive
11,Beginner,Machine Learning,1-2 hours,74,Career,Math for ML,Easy,Article
12,Advanced,Data Science,4-6 hours,86,Hobby,Advanced Visualization,Easy,Interactive
13,Advanced,Python,1-2 hours,92,Hobby,Optimization,Easy,Article
14,Intermediate,Python,2-4 hours,56,Certifications,Data Structures,Easy,Video
15,Intermediate,Machine Learning,4-6 hours,60,Academic,Scikit-learn,Easy,Interactive
16,Intermediate,Web Development,4-6 hours,94,Career,APIs & Backend,Hard,Interactive
17,Advanced,Web Development,2-4 hours,60,Certifications,Full Stack Architecture,Easy,Video
18,Intermediate,Data Science,2-4 hours,93,Academic,SQL for Data,Medium,Video
19,Beginner,Web Development,1-2 hours,70,Certifications,JavaScript Basics,Easy,Article
20,Intermediate,Python,2-4 hours,86,Academic,Web Scraping,Medium,Video
21,Beginner,Machine Learning,6+ hours,91,Certifications,ML Fundamentals,Easy,Book
22,Beginner,Data Science,2-4 hours,65,Academic,Statistics Basics,Easy,Video
23,Advanced,Mobile Development,6+ hours,87,Certifications,Native Modules,Hard,Book
24,Intermediate,Web Development,2-4 hours,82,Certifications,Node.js,Medium,Video
25,Beginner,Python,1-2 hours,59,Hobby,Python Basic,Easy,Article
26,Advanced,Machine Learning,1-2 hours,74,Certifications,Reinforcement Learning,Hard,Article
27,Advanced,Machine Learning,4-6 hours,85,Career,Model Deployment,Hard,Interactive
28,Advanced,Python,4-6 hours,99,Academic,Optimization,Medium,Interactive
29,Beginner,Data Science,6+ hours,60,Certifications,Statistics Basics,Easy,Book
30,Beginner,Data Science,2-4 hours,82,Career,Python for Data,Hard,Video
31,Advanced,Data Science,2-4 hours,59,Academic,Deep Learning,Easy,Video
32,Beginner,Mobile Development,1-2 hours,88,Academic,UI/UX,Medium,Article
33,Intermediate,Python,1-2 hours,73,Academic,Libraries (Pandas/NumPy),Medium,Article
34,Beginner,Python,2-4 hours,86,Career,Functions and Modules,Hard,Video
35,Beginner,Machine Learning,1-2 hours,98,Hobby,ML Fundamentals,Easy,Article
36,Beginner,Machine Learning,2-4 hours,66,Certifications,Python for ML,Easy,Video
37,Beginner,Mobile Development,2-4 hours,95,Academic,UI/UX,Medium,Video
38,Intermediate,Data Science,6+ hours,83,Certifications,ML Basics,Medium,Book
39,Beginner,Web Development,2-4 hours,54,Academic,HTML/CSS Basics,Easy,Video
40,Beginner,Mobile Development,2-4 hours,87,Hobby,UI/UX,Easy,Video
41,Beginner,Python,1-2 hours,64,Career,Python Basic,Easy,Article
42,Beginner,Data Science,1-2 hours,82,Hobby,Python for Data,Easy,Article
43,Intermediate,Machine Learning,2-4 hours,84,Hobby,Feature Engineering,Easy,Video
44,Advanced,Mobile Development,6+ hours,65,Certifications,Cross-platform Architecture,Easy,Book
45,Intermediate,Web Development,1-2 hours,56,Certifications,React.js,Easy,Article
46,Intermediate,Machine Learning,6+ hours,79,Career,Feature Engineering,Medium,Book
47,Advanced,Python,1-2 hours,75,Academic,System Design,Medium,Article
48,Beginner,Web Development,2-4 hours,62,Certifications,HTML/CSS Basics,Easy,Video
49,Beginner,Machine Learning,2-4 hours,67,Certifications,Python for ML,Easy,Video
50,Beginner,Python,6+ hours,85,Career,Functions and Modules,Hard,Book
51,Beginner,Mobile Development,1-2 hours,55,Hobby,App Design Basics,Easy,Article
52,Beginner,Machine Learning,6+ hours,80,Hobby,Math for ML,Easy,Book
53,Intermediate,Python,2-4 hours,74,Career,Libraries (Pandas/NumPy),Medium,Video
54,Intermediate,Data Science,6+ hours,68,Certifications,Pandas & Data Cleaning,Easy,Book
55,Advanced,Mobile Development,6+ hours,59,Hobby,Cross-platform Architecture,Easy,Book
56,Intermediate,Web Development,1-2 hours,87,Career,APIs & Backend,Hard,Article
57,Advanced,Data Science,1-2 hours,53,Certifications,Deep Learning,Easy,Article
58,Advanced,Mobile Development,2-4 hours,53,Career,Cross-platform Architecture,Easy,Video
59,Beginner,Python,1-2 hours,93,Hobby,Functions and Modules,Easy,Article
60,Intermediate,Python,2-4 hours,87,Career,Web Scraping,Hard,Video
61,Advanced,Python,6+ hours,92,Academic,Optimization,Medium,Book
62,Intermediate,Web Development,4-6 hours,65,Academic,React.js,Easy,Interactive
63,Intermediate,Web Development,4-6 hours,79,Academic,Node.js,Medium,Interactive
64,Beginner,Python,6+ hours,89,Career,Functions and Modules,Hard,Book
65,Beginner,Mobile Development,2-4 hours,82,Academic,Programming Fundamentals,Medium,Video
66,Beginner,Data Science,1-2 hours,65,Academic,Statistics Basics,Easy,Article
67,Intermediate,Web Development,6+ hours,84,Academic,Node.js,Medium,Book
68,Advanced,Mobile Development,1-2 hours,92,Academic,Native Modules,Medium,Article
69,Advanced,Python,2-4 hours,66,Career,Decorators & Generators,Easy,Video
70,Beginner,Mobile Development,2-4 hours,67,Academic,App Design Basics,Easy,Video
71,Advanced,Web Development,4-6 hours,63,Academic,Full Stack Architecture,Easy,Interactive
72,Advanced,Machine Learning,4-6 hours,53,Career,Neural Networks,Easy,Interactive
73,Advanced,Machine Learning,4-6 hours,52,Career,Neural Networks,Easy,Interactive
74,Intermediate,Web Development,4-6 hours,60,Certifications,React.js,Easy,Interactive
75,Advanced,Machine Learning,1-2 hours,57,Career,Neural Networks,Easy,Article
76,Advanced,Web Development,1-2 hours,73,Hobby,Microservices,Easy,Article
